customerID,gender,SeniorCitizen,Partner,Dependents,tenure,PhoneService,MultipleLines,InternetService,OnlineSecurity,TechSupport,Contract,PaperlessBilling,PaymentMethod,MonthlyCharges,TotalCharges,Churn
CUST-00026,Female,0,No,Yes,45,No,No,Fiber optic,No,No,Two year,Yes,Bank transfer,34.51,1565.58,Yes
CUST-00027,Female,1,No,Yes,33,Yes,Yes,No,No,Yes,Month-to-month,No,Credit card,21.59,719.38,No
CUST-00028,Female,0,No,No,70,No,No phone service,Fiber optic,No,No,One year,No,Bank transfer,89.33,6259.21,No
CUST-00029,Female,1,Yes,Yes,46,Yes,Yes,Fiber optic,No internet service,No,One year,No,Electronic check,119.4,5507.8,Yes
CUST-00030,Male,0,Yes,Yes,59,Yes,No,No,Yes,No,Month-to-month,No,Mailed check,53.24,3141.16,No
CUST-00031,Male,0,Yes,No,10,Yes,No,No,No,No internet service,Two year,Yes,Bank transfer,76.01,760.1,No
CUST-00032,Female,0,Yes,Yes,49,Yes,Yes,No,No internet service,No internet service,Two year,Yes,Mailed check,100.68,4933.32,No
CUST-00033,Female,0,No,No,3,Yes,No,DSL,Yes,No,One year,Yes,Credit card,37.02,111.06,Yes
CUST-00034,Female,0,No,Yes,40,Yes,No,Fiber optic,Yes,No,Month-to-month,Yes,Bank transfer,102.61,4130.53,No
CUST-00035,Male,0,No,No,58,Yes,No,DSL,No,No,One year,Yes,Mailed check,81.78,4768.15,Yes
CUST-00036,Female,0,No,No,59,Yes,No,DSL,No,No,Month-to-month,Yes,Electronic check,76.12,4573.95,No
CUST-00037,Male,0,Yes,No,61,Yes,Yes,DSL,No internet service,No,Month-to-month,Yes,Credit card,95.75,5871.36,Yes
CUST-00038,Male,0,Yes,Yes,24,Yes,No,Fiber optic,No,No internet service,One year,Yes,Mailed check,42.58,1021.92,Yes
CUST-00039,Male,0,Yes,Yes,32,Yes,No,No,Yes,No,Month-to-month,Yes,Mailed check,80.71,2607.06,Yes
CUST-00040,Male,0,Yes,Yes,18,Yes,No,Fiber optic,Yes,No,Month-to-month,Yes,Electronic check,42.52,765.36,No
CUST-00041,Male,0,Yes,No,56,Yes,No,No,No,No internet service,Month-to-month,Yes,Credit card,36.31,2033.36,No
CUST-00042,Female,1,No,No,14,No,Yes,DSL,Yes,No,One year,Yes,Electronic check,81.58,1142.12,Yes
CUST-00043,Female,0,No,Yes,40,Yes,Yes,No,Yes,Yes,Two year,Yes,Credit card,45.47,1838.21,No
CUST-00044,Female,0,Yes,Yes,68,Yes,No phone service,DSL,Yes,Yes,Month-to-month,Yes,Mailed check,90.87,6204.1,No
CUST-00045,Female,0,Yes,Yes,59,Yes,No phone service,Fiber optic,Yes,Yes,Month-to-month,No,Mailed check,70.48,4223.07,No
CUST-00046,Female,0,No,No,21,Yes,No,Fiber optic,Yes,No,Month-to-month,No,Credit card,88.89,1938.93,Yes
CUST-00047,Male,0,Yes,No,42,Yes,Yes,No,No internet service,No,One year,Yes,Mailed check,108.95,4593.26,No
CUST-00048,Female,0,No,No,31,Yes,No,No,No,Yes,Two year,No,Bank transfer,32.1,995.1,No
CUST-00049,Female,0,No,No,12,Yes,No,DSL,No,Yes,Month-to-month,No,Mailed check,24.81,297.72,No
CUST-00050,Male,0,No,No,37,Yes,No,DSL,Yes,Yes,Month-to-month,Yes,Credit card,58.79,2186.31,No
CUST-00051,Female,0,Yes,Yes,25,Yes,Yes,Fiber optic,No internet service,No,Month-to-month,No,Bank transfer,91.1,2322.37,No
CUST-00052,Male,0,No,Yes,4,Yes,Yes,Fiber optic,Yes,Yes,Two year,No,Credit card,108.39,481.49,Yes
CUST-00053,Female,1,Yes,No,48,Yes,Yes,Fiber optic,No internet service,No,Month-to-month,Yes,Bank transfer,21.55,1034.4,Yes
CUST-00054,Male,0,No,No,4,Yes,Yes,DSL,No internet service,No internet service,One year,No,Bank transfer,98.88,395.52,No
CUST-00055,Female,1,Yes,No,70,No,No,Fiber optic,No internet service,Yes,Month-to-month,No,Electronic check,25.69,1798.3,No
CUST-00056,Female,0,Yes,No,47,Yes,No,DSL,No,Yes,One year,No,Electronic check,77.22,3629.34,No
CUST-00057,Male,0,No,No,17,Yes,No,DSL,No,Yes,Month-to-month,No,Bank transfer,53.1,919.47,No
CUST-00058,Male,0,No,No,5,Yes,Yes,DSL,No internet service,Yes,Month-to-month,Yes,Bank transfer,19.8,99.0,No
CUST-00059,Male,0,No,No,65,Yes,No,No,No,No,Month-to-month,Yes,Bank transfer,27.9,1813.5,No
CUST-00060,Male,0,No,No,41,Yes,No,DSL,No,Yes,Month-to-month,Yes,Electronic check,54.08,2241.16,Yes
CUST-00061,Male,0,No,Yes,51,Yes,Yes,Fiber optic,No,No,Month-to-month,Yes,Electronic check,115.28,5879.28,Yes
CUST-00062,Male,0,Yes,No,10,Yes,No,DSL,Yes,No,One year,Yes,Electronic check,33.79,434.08,No
CUST-00063,Male,0,No,No,25,Yes,No,Fiber optic,No internet service,No,Month-to-month,No,Bank transfer,45.74,1143.5,Yes
CUST-00064,Male,0,No,No,20,Yes,No,No,No,No internet service,One year,No,Bank transfer,119.4,2388.0,No
CUST-00065,Female,0,No,No,65,Yes,Yes,DSL,Yes,No,Month-to-month,No,Credit card,67.02,4356.3,No
CUST-00066,Female,0,No,No,39,Yes,No,No,No,No internet service,One year,Yes,Mailed check,44.75,1771.94,No
CUST-00067,Male,0,Yes,Yes,55,Yes,No phone service,No,No,No,Month-to-month,Yes,Mailed check,80.83,4477.36,Yes
CUST-00068,Female,0,No,No,50,Yes,No,Fiber optic,Yes,No,Two year,No,Electronic check,62.48,3154.77,No
CUST-00069,Female,1,Yes,Yes,19,Yes,No,DSL,No,No,Month-to-month,Yes,Electronic check,105.55,2005.45,Yes
CUST-00070,Female,0,Yes,No,56,Yes,Yes,No,Yes,No,Month-to-month,No,Mailed check,18.81,1053.36,No
CUST-00071,Female,1,No,No,4,Yes,No,No,Yes,No,One year,Yes,Electronic check,119.67,562.45,No
CUST-00072,Male,0,Yes,Yes,13,Yes,No,No,No,No,Month-to-month,Yes,Bank transfer,24.76,321.88,No
CUST-00073,Female,0,No,Yes,23,Yes,No,No,No,No,Month-to-month,Yes,Mailed check,72.79,1674.17,No
CUST-00074,Male,0,Yes,No,67,No,Yes,Fiber optic,No,No,Two year,Yes,Bank transfer,89.13,6040.95,No
CUST-00075,Female,0,Yes,No,51,Yes,No phone service,Fiber optic,No,No,One year,No,Mailed check,74.08,3778.08,No
CUST-00076,Female,1,No,Yes,47,Yes,No,Fiber optic,No internet service,Yes,Two year,Yes,Mailed check,48.68,2287.96,Yes
CUST-00077,Female,0,No,No,46,Yes,No phone service,Fiber optic,Yes,Yes,One year,No,Electronic check,105.25,4903.38,Yes
CUST-00078,Male,0,No,No,59,Yes,No,Fiber optic,No,No internet service,Month-to-month,No,Bank transfer,61.9,3718.37,Yes
CUST-00079,Female,0,No,Yes,72,Yes,No,Fiber optic,No internet service,No internet service,Two year,No,Bank transfer,48.67,3571.85,No
CUST-00080,Male,0,No,No,2,Yes,No,Fiber optic,Yes,Yes,Two year,Yes,Credit card,96.37,229.7,No
CUST-00081,Female,1,Yes,No,8,Yes,No,No,Yes,Yes,Month-to-month,Yes,Bank transfer,32.88,363.87,No
CUST-00082,Male,0,Yes,No,23,Yes,Yes,DSL,Yes,No internet service,Month-to-month,Yes,Bank transfer,38.91,942.02,No
CUST-00083,Female,0,Yes,No,3,No,Yes,Fiber optic,Yes,No,One year,No,Electronic check,43.78,147.89,No
CUST-00084,Male,0,No,Yes,8,Yes,No,DSL,Yes,Yes,Month-to-month,Yes,Credit card,62.36,499.47,No
CUST-00085,Male,0,No,Yes,0,Yes,No phone service,DSL,No,Yes,Month-to-month,Yes,Bank transfer,20.07,0.0,Yes
CUST-00086,Female,0,Yes,Yes,34,Yes,No,Fiber optic,No,No,Two year,Yes,Electronic check,119.16,4051.44,No
CUST-00087,Male,0,No,No,11,Yes,Yes,No,Yes,Yes,Month-to-month,No,Mailed check,79.22,871.42,No
CUST-00088,Female,0,No,No,17,Yes,Yes,Fiber optic,Yes,No,Month-to-month,No,Bank transfer,117.01,2036.84,No
CUST-00089,Female,0,Yes,No,9,Yes,No,DSL,No,No,One year,Yes,Electronic check,100.36,903.24,Yes
CUST-00090,Female,0,Yes,No,17,Yes,No,Fiber optic,No internet service,No,Month-to-month,No,Mailed check,31.7,538.9,Yes
CUST-00091,Female,0,No,No,23,Yes,No phone service,Fiber optic,Yes,Yes,Two year,No,Bank transfer,39.32,1005.93,No
CUST-00092,Female,0,No,No,0,Yes,No,Fiber optic,No,No internet service,Month-to-month,Yes,Bank transfer,21.51,59.82,Yes
CUST-00093,Female,0,No,No,71,Yes,Yes,Fiber optic,No,Yes,Month-to-month,Yes,Electronic check,103.05,7316.55,Yes
CUST-00094,Female,0,Yes,Yes,15,Yes,No,DSL,No,No,Month-to-month,Yes,Mailed check,78.53,1206.42,Yes
CUST-00095,Female,0,No,Yes,14,Yes,No,Fiber optic,Yes,No,One year,No,Mailed check,39.94,559.16,Yes
CUST-00096,Female,0,Yes,No,61,Yes,No,Fiber optic,Yes,Yes,One year,Yes,Mailed check,116.95,7133.95,No
CUST-00097,Female,0,Yes,No,4,Yes,Yes,Fiber optic,No,No,Two year,Yes,Mailed check,93.15,435.06,Yes
CUST-00098,Female,0,No,No,44,No,Yes,DSL,No internet service,Yes,Month-to-month,Yes,Bank transfer,89.96,3971.72,Yes
CUST-00099,Male,0,Yes,No,51,Yes,No,No,No,No,Two year,No,Mailed check,45.23,2306.73,No
CUST-00100,Male,0,No,Yes,70,Yes,Yes,DSL,No internet service,Yes,One year,No,Electronic check,49.96,3515.35,No
CUST-00101,Female,0,Yes,No,6,No,Yes,DSL,No,No,Two year,Yes,Electronic check,86.13,548.5,No
CUST-00102,Female,0,No,No,26,Yes,Yes,Fiber optic,No,Yes,Month-to-month,Yes,Bank transfer,78.54,2126.89,Yes
CUST-00103,Female,0,No,No,12,Yes,No phone service,Fiber optic,No,No internet service,Month-to-month,No,Electronic check,84.02,1022.76,Yes
CUST-00104,Female,0,Yes,No,16,Yes,Yes,DSL,Yes,No,Month-to-month,No,Credit card,107.64,1725.16,Yes
CUST-00105,Female,0,No,No,43,Yes,No,Fiber optic,No,No,Month-to-month,Yes,Bank transfer,34.36,1503.18,Yes
CUST-00106,Female,0,Yes,No,12,Yes,No,DSL,No internet service,No,One year,No,Credit card,29.87,358.44,No
CUST-00107,Female,0,No,No,72,Yes,No,No,No internet service,No,Two year,Yes,Mailed check,75.59,5578.65,No
CUST-00108,Female,0,Yes,No,4,Yes,No,Fiber optic,No,Yes,One year,No,Credit card,69.02,374.32,No
CUST-00109,Male,0,Yes,No,32,Yes,Yes,DSL,No,No internet service,Month-to-month,Yes,Bank transfer,59.09,1939.29,No
CUST-00110,Female,0,Yes,Yes,3,Yes,Yes,DSL,No,No,Month-to-month,Yes,Mailed check,110.28,346.68,Yes
CUST-00111,Male,0,Yes,Yes,25,Yes,Yes,Fiber optic,No,No internet service,Month-to-month,Yes,Electronic check,74.95,1873.75,No
CUST-00112,Female,0,No,Yes,67,Yes,No,Fiber optic,No,No,Two year,Yes,Bank transfer,75.86,5084.04,No
CUST-00113,Female,0,Yes,Yes,15,No,No phone service,No,Yes,Yes,Month-to-month,Yes,Mailed check,55.38,855.64,Yes
CUST-00114,Male,0,Yes,No,21,Yes,No phone service,No,No internet service,No,Month-to-month,Yes,Bank transfer,53.1,1115.1,No
CUST-00115,Female,0,Yes,No,35,Yes,No,Fiber optic,No,No,Month-to-month,Yes,Mailed check,118.74,4155.9,No
CUST-00116,Male,0,Yes,Yes,57,Yes,No phone service,No,No,Yes,Month-to-month,No,Bank transfer,81.55,4648.35,No
CUST-00117,Female,0,No,Yes,54,Yes,No phone service,Fiber optic,Yes,No,Month-to-month,No,Bank transfer,102.16,5516.64,No
CUST-00118,Female,1,No,Yes,34,Yes,No,Fiber optic,Yes,No,Month-to-month,Yes,Bank transfer,63.64,2248.04,Yes
CUST-00119,Male,0,Yes,No,24,Yes,Yes,Fiber optic,No internet service,Yes,Two year,No,Bank transfer,37.57,901.68,No
CUST-00120,Female,0,No,No,71,Yes,No,DSL,No internet service,Yes,Two year,No,Credit card,51.13,3697.75,No
CUST-00121,Male,1,No,No,60,Yes,No phone service,DSL,No,No,Two year,Yes,Mailed check,53.3,3198.0,No
CUST-00122,Female,0,Yes,No,17,Yes,No,No,No,No,Two year,Yes,Mailed check,75.62,1285.54,No
CUST-00123,Male,1,No,Yes,57,Yes,No,Fiber optic,No,No internet service,Month-to-month,Yes,Bank transfer,33.77,1927.21,No
CUST-00124,Male,0,No,No,56,Yes,Yes,No,Yes,Yes,Month-to-month,Yes,Bank transfer,57.48,3229.2,Yes
CUST-00125,Female,1,No,Yes,62,Yes,Yes,DSL,Yes,No internet service,Month-to-month,No,Electronic check,28.26,1752.12,No
CUST-00126,Female,0,No,No,11,Yes,Yes,DSL,No,No internet service,One year,Yes,Mailed check,68.65,772.92,No
CUST-00127,Male,0,Yes,No,10,Yes,Yes,Fiber optic,No internet service,No internet service,One year,Yes,Credit card,114.64,1146.4,No
CUST-00128,Female,0,No,No,12,No,No phone service,Fiber optic,No,Yes,One year,No,Mailed check,52.57,723.38,No
CUST-00129,Female,0,No,No,34,No,Yes,No,No,Yes,Month-to-month,Yes,Mailed check,23.07,784.38,No
CUST-00130,Female,0,No,No,26,Yes,No,DSL,Yes,Yes,Month-to-month,Yes,Mailed check,80.09,2125.59,Yes
CUST-00131,Male,0,No,Yes,66,Yes,Yes,Fiber optic,No internet service,No internet service,Month-to-month,No,Electronic check,82.74,5460.84,No
CUST-00132,Male,0,Yes,Yes,44,Yes,Yes,Fiber optic,No internet service,No internet service,Month-to-month,No,Credit card,66.92,3007.75,No
CUST-00133,Male,0,No,No,66,Yes,Yes,Fiber optic,Yes,Yes,Two year,Yes,Bank transfer,58.48,3859.68,No
CUST-00134,Male,0,No,No,21,Yes,No phone service,Fiber optic,No,Yes,Two year,Yes,Credit card,109.05,2290.05,No
CUST-00135,Male,0,Yes,Yes,41,No,No,Fiber optic,No,No,Month-to-month,No,Bank transfer,113.72,4662.52,Yes
CUST-00136,Male,1,Yes,No,19,No,No,Fiber optic,No,Yes,One year,No,Bank transfer,86.66,1646.54,Yes
CUST-00137,Male,0,No,No,47,Yes,No phone service,DSL,No internet service,No,Month-to-month,No,Credit card,69.12,3248.64,No
CUST-00138,Male,1,Yes,No,17,Yes,No phone service,No,No,No internet service,Month-to-month,Yes,Electronic check,24.89,423.13,Yes
CUST-00139,Male,0,Yes,No,69,Yes,No,No,Yes,No,Month-to-month,Yes,Electronic check,48.71,3378.54,No
CUST-00140,Female,0,Yes,No,5,Yes,Yes,Fiber optic,Yes,No,Month-to-month,No,Bank transfer,47.08,262.76,Yes
CUST-00141,Male,0,Yes,No,38,Yes,Yes,Fiber optic,No,Yes,One year,Yes,Electronic check,23.94,909.72,No
CUST-00142,Female,0,Yes,No,10,Yes,Yes,Fiber optic,No,Yes,Month-to-month,Yes,Electronic check,104.02,1040.2,Yes
CUST-00143,Female,0,Yes,No,24,Yes,Yes,No,No internet service,No,Two year,Yes,Electronic check,106.44,2554.56,No
CUST-00144,Female,0,Yes,No,54,Yes,Yes,DSL,No internet service,No internet service,Two year,Yes,Electronic check,111.06,6001.31,No
CUST-00145,Male,0,No,No,57,Yes,Yes,Fiber optic,No internet service,No,Month-to-month,Yes,Bank transfer,93.66,5357.79,No
CUST-00146,Male,1,No,Yes,36,Yes,No,DSL,Yes,Yes,Month-to-month,Yes,Electronic check,90.47,3309.03,Yes
CUST-00147,Male,0,Yes,Yes,15,Yes,No,DSL,Yes,Yes,One year,No,Credit card,66.74,1017.92,No
CUST-00148,Male,0,Yes,No,69,Yes,Yes,Fiber optic,Yes,No,Two year,No,Credit card,105.45,7276.05,Yes
CUST-00149,Female,0,No,No,72,Yes,No,No,Yes,Yes,Month-to-month,Yes,Bank transfer,70.03,5076.9,No
CUST-00150,Male,0,Yes,No,36,Yes,No,Fiber optic,No internet service,Yes,Month-to-month,Yes,Mailed check,21.02,805.8,No
CUST-00151,Male,0,Yes,Yes,52,Yes,Yes,Fiber optic,No internet service,Yes,Two year,No,Electronic check,77.66,4038.32,No
CUST-00152,Male,0,Yes,Yes,15,Yes,No,Fiber optic,No,No,Month-to-month,No,Credit card,57.83,890.94,Yes
CUST-00153,Male,0,No,No,17,Yes,Yes,No,No internet service,No,Month-to-month,Yes,Mailed check,71.17,1275.7,No
CUST-00154,Male,0,No,Yes,18,Yes,Yes,Fiber optic,No,Yes,Two year,No,Credit card,62.95,1133.1,Yes
CUST-00155,Female,0,No,Yes,43,Yes,No,DSL,No,Yes,Month-to-month,Yes,Credit card,68.67,2987.68,Yes
CUST-00156,Male,0,No,No,1,Yes,No,No,No,No,Month-to-month,Yes,Mailed check,29.07,29.07,Yes
CUST-00157,Female,1,No,Yes,57,Yes,Yes,Fiber optic,No,No,Month-to-month,Yes,Electronic check,19.48,1110.36,No
CUST-00158,Male,0,Yes,No,9,No,No,DSL,No,No,Month-to-month,Yes,Bank transfer,52.7,474.3,Yes
CUST-00159,Female,0,No,No,45,Yes,No phone service,Fiber optic,Yes,No,Two year,Yes,Bank transfer,43.96,2009.34,No
CUST-00160,Male,0,Yes,Yes,18,Yes,No,Fiber optic,No,No internet service,Month-to-month,No,Bank transfer,43.51,821.45,No
CUST-00161,Male,1,No,No,37,Yes,No,Fiber optic,No,No,Two year,Yes,Electronic check,113.58,4223.44,Yes
CUST-00162,Female,0,No,No,36,Yes,No,No,No internet service,No,Month-to-month,Yes,Electronic check,101.54,3685.16,Yes
CUST-00163,Female,0,No,No,44,No,No,DSL,No,No internet service,Month-to-month,Yes,Credit card,19.36,888.05,No
CUST-00164,Female,0,Yes,No,33,Yes,Yes,DSL,No internet service,No internet service,One year,No,Bank transfer,18.89,691.39,No
CUST-00165,Male,0,Yes,No,1,Yes,No phone service,DSL,No internet service,No internet service,Two year,Yes,Bank transfer,97.24,97.24,No
CUST-00166,Female,0,No,No,43,No,No,DSL,No,No,Month-to-month,No,Credit card,118.46,5093.78,Yes
CUST-00167,Male,0,No,No,26,Yes,Yes,Fiber optic,Yes,No,One year,Yes,Credit card,65.45,1701.7,No
CUST-00168,Male,0,No,No,47,Yes,No,Fiber optic,No,No,Month-to-month,Yes,Mailed check,62.18,2922.46,Yes
CUST-00169,Female,0,Yes,Yes,6,Yes,No,No,No internet service,No internet service,Two year,Yes,Mailed check,46.13,317.85,No
CUST-00170,Female,0,No,Yes,26,Yes,Yes,No,No,Yes,Two year,Yes,Electronic check,86.0,2236.0,No
CUST-00171,Male,0,No,Yes,70,Yes,Yes,Fiber optic,No internet service,No internet service,One year,Yes,Bank transfer,66.11,4641.19,No
CUST-00172,Male,0,No,No,17,Yes,Yes,DSL,No,No,One year,Yes,Credit card,35.09,663.7,Yes
CUST-00173,Female,0,No,Yes,32,No,No,Fiber optic,Yes,No,Month-to-month,Yes,Bank transfer,67.1,2147.87,Yes
CUST-00174,Female,1,No,No,32,Yes,Yes,Fiber optic,No,No,Month-to-month,No,Electronic check,56.39,1832.95,No
CUST-00175,Female,0,No,No,24,Yes,Yes,DSL,No,No,Month-to-month,Yes,Bank transfer,108.76,2610.24,Yes
CUST-00176,Male,0,No,Yes,13,Yes,Yes,Fiber optic,Yes,No internet service,Month-to-month,Yes,Credit card,96.7,1293.11,Yes
CUST-00177,Male,0,No,No,37,Yes,No,DSL,No,Yes,One year,Yes,Credit card,89.53,3312.61,No
CUST-00178,Male,0,Yes,No,37,Yes,No phone service,No,Yes,No internet service,Month-to-month,No,Credit card,51.37,1900.69,No
CUST-00179,Male,0,Yes,Yes,3,Yes,No,Fiber optic,Yes,No internet service,Month-to-month,Yes,Electronic check,32.24,99.62,Yes
CUST-00180,Male,0,No,No,61,Yes,Yes,No,Yes,No,Two year,Yes,Credit card,106.2,6520.18,No
CUST-00181,Male,0,No,No,9,Yes,No,Fiber optic,No,Yes,Two year,Yes,Mailed check,52.96,476.64,No
CUST-00182,Female,0,No,No,34,Yes,No,Fiber optic,No internet service,No internet service,Month-to-month,Yes,Credit card,78.48,2668.32,No
CUST-00183,Male,0,No,Yes,22,No,No,Fiber optic,No,No,Month-to-month,No,Bank transfer,78.26,1721.72,No
CUST-00184,Male,0,Yes,No,64,No,No,No,No internet service,No,Month-to-month,No,Credit card,112.66,7223.78,No
CUST-00185,Male,0,No,No,24,Yes,Yes,Fiber optic,No,No internet service,Month-to-month,No,Credit card,35.52,862.83,No
CUST-00186,Female,0,No,No,52,No,Yes,No,No internet service,No,Month-to-month,Yes,Bank transfer,96.71,5038.68,Yes
CUST-00187,Male,0,Yes,Yes,16,Yes,Yes,DSL,No,Yes,Two year,Yes,Electronic check,65.18,1042.88,Yes
CUST-00188,Male,0,Yes,No,56,Yes,No phone service,DSL,No,Yes,One year,Yes,Electronic check,35.82,2005.92,No
CUST-00189,Female,0,No,No,19,Yes,No,DSL,Yes,No,Two year,Yes,Electronic check,103.24,2024.71,No
CUST-00190,Male,0,Yes,No,24,Yes,No,No,No internet service,Yes,Month-to-month,No,Electronic check,101.65,2468.48,No
CUST-00191,Male,0,No,No,41,Yes,No,DSL,No,Yes,Month-to-month,No,Credit card,22.1,966.41,Yes
CUST-00192,Male,0,Yes,No,44,Yes,No,No,No,No,Month-to-month,Yes,Credit card,90.36,3996.52,Yes
CUST-00193,Male,0,No,No,30,Yes,Yes,Fiber optic,No,No,Two year,Yes,Mailed check,33.66,1020.7,No
CUST-00194,Male,1,No,No,64,Yes,Yes,DSL,No,No internet service,Month-to-month,Yes,Electronic check,80.26,5208.66,Yes
CUST-00195,Female,0,No,No,51,Yes,No phone service,Fiber optic,Yes,Yes,Month-to-month,No,Bank transfer,83.67,4267.17,No
CUST-00196,Female,0,Yes,Yes,20,Yes,No phone service,DSL,Yes,No internet service,Month-to-month,Yes,Bank transfer,85.85,1717.0,No
CUST-00197,Female,0,No,No,29,Yes,No,Fiber optic,Yes,No,One year,No,Bank transfer,30.25,964.04,No
CUST-00198,Male,0,Yes,No,2,Yes,No,Fiber optic,Yes,No internet service,Month-to-month,No,Bank transfer,79.03,203.3,Yes
CUST-00199,Male,0,Yes,Yes,69,Yes,Yes,DSL,Yes,No internet service,Month-to-month,No,Mailed check,28.19,1945.11,Yes
CUST-00200,Male,0,No,No,42,Yes,Yes,No,No,No,Month-to-month,Yes,Mailed check,94.05,3950.1,Yes
CUST-00201,Female,1,No,Yes,28,Yes,No,Fiber optic,Yes,No,Month-to-month,No,Mailed check,24.5,686.0,Yes
CUST-00202,Male,0,No,No,2,Yes,No,Fiber optic,Yes,No internet service,One year,No,Electronic check,95.3,190.6,Yes
CUST-00203,Male,0,Yes,No,57,Yes,No,No,No,No,Two year,Yes,Credit card,108.12,6208.97,No
CUST-00204,Female,0,Yes,Yes,32,Yes,No,DSL,No,No,Month-to-month,Yes,Bank transfer,48.45,1550.4,No
CUST-00205,Male,0,Yes,No,44,No,Yes,Fiber optic,No,No,Two year,Yes,Bank transfer,97.39,4339.89,Yes
CUST-00206,Female,0,No,Yes,68,Yes,Yes,Fiber optic,Yes,Yes,Month-to-month,Yes,Mailed check,60.59,4155.52,No
CUST-00207,Female,0,No,No,31,Yes,No phone service,Fiber optic,No,No internet service,Month-to-month,Yes,Electronic check,99.37,3080.47,Yes
CUST-00208,Female,0,No,No,51,No,Yes,DSL,No,No,One year,No,Mailed check,88.0,4490.94,Yes
CUST-00209,Male,0,No,No,63,No,No,DSL,No,Yes,Month-to-month,No,Bank transfer,47.49,2991.87,No
CUST-00210,Male,0,Yes,Yes,39,Yes,No,Fiber optic,Yes,Yes,Month-to-month,No,Bank transfer,37.76,1472.64,No
CUST-00211,Male,0,Yes,Yes,12,Yes,No,DSL,No,No,One year,No,Mailed check,111.3,1350.17,No
CUST-00212,Male,0,Yes,No,28,Yes,No phone service,DSL,No,No internet service,Month-to-month,Yes,Bank transfer,103.58,2927.19,Yes
CUST-00213,Male,0,Yes,No,62,Yes,Yes,DSL,No internet service,No,One year,Yes,Credit card,85.31,5327.69,Yes
